id;org_id;invoice_items_id;quantity;cgst;sgst;gst;total_amount
1;dynamic Yttrium consequently;Convertible female;13747;flirt payment Bicycle;Hampshire;Van Guinea indigo;19943
2;male digital;deposit Hop half;6499;Tobago Electronic;wireless Automotive scalable;for Cadillac;24130
3;Latin withdrawal;interactive generating Kia;16967;connect Cortney Interactions;Dollar Outdoors Kraig;Electric quas indigo;21713
4;firewall;Southeast;4889;Pizza Investor wireless;Card Southwest;Transexual;16345
5;North Computers;Hybrid Moroccan;30010;whereas;Chair;Triathlon/Time invoice;731
6;mechanically Diesel;male partially Forward;21362;violet azure archive;Accountability;1080p like quantifying;20792
7;times;deposit connecting;2960;graduate lime tangible;ick ivory odio;generate;2294
8;Direct Hybrid;F2M Soft male;8132;Electronic parse;Guinea Folk Bedfordshire;Buckinghamshire Jazz;5293
9;reintermediate quantify;ohm weber Cisgender;21358;green till Electronic;Wooden Southeast;24/7;1590
10;straight Intelligent typewriter;Concrete softly;21564;Global quantifying Touring;smock lest eek;South lavender holistic;21389
