id;org_id;order_items_id;quantity;cgst;sgst;gst;total_amount
1;granular Plastic transmit;Music Cotton adipisci;11678;hack Cisgender;Pizza;Coupe unleash;19745
2;Hatchback payment Metal;calculating Infrastructure virtual;19339;Cyclocross bureau;siemens red array;Concrete Hybrid;24882
3;online Southwest rarely;Officer Indium Views;20181;East Van superpose;withdrawal;bluetooth;13096
4;Hybrid Licensed Electronic;Corporate generating Hyundai;12657;Hatchback Southwest;Modern;Configuration Georgia yellow;30844
5;Mouse;female Organized;28240;Chief Rubber Computer;Gorgeous Folk;microchip bulky Bicycle;3576
6;disruption;Music;30349;Dirham unto;Pizza Credit Clothing;Metal;25378
7;Practical yuck Nakfa;Direct madly;21927;override Bedfordshire;Programmable deposit Beauty;Non man solid;24369
8;digital override Nissan;Strategist transmitting Engineer;26888;Wooden BMW;Accounts North;convulse while phew;31679
9;Smart decimalise Implemented;East Stehr Dakota;11966;Generic Regional;Avon;neutral South architectures;22465
10;Clothing;following;5907;Elegant;Maarten Intelligent intranet;lavender;8853
