id;org_id;org_name;legal_org_name;pan;gstin;phone_number;email_id;status;date_of_regestation;date_of_de_regestation;logo;logo_content_type
1;Spencer;Card;interactive Denmark;Mountain Lois Neither;Legacy;ew;Bike since;INACTIVE;2023-10-04T22:30:33;2023-10-04T21:56:50;../fake-data/blob/hipster.png;image/png
2;Balanced bandwidth;North;amalgamate Cerium;architect Customer;Developer hard Virginia;Helena;Shoes circuit optimal;INACTIVE;2023-10-05T07:15:59;2023-10-04T19:03:10;../fake-data/blob/hipster.png;image/png
3;Decentralized Producer katal;where;bypassing Orchestrator Augustine;Chrysler Granite female;Minivan Computer;ugh Hop;relationships;ACTIVE;2023-10-04T13:43:25;2023-10-05T10:37:59;../fake-data/blob/hipster.png;image/png
4;B2C Branding overriding;Bike payment;Health Crew West;Gender compressing compressing;loop Bicycle;copying;calculating Lesotho Customer;INACTIVE;2023-10-04T16:08:26;2023-10-05T12:59:57;../fake-data/blob/hipster.png;image/png
5;male Outdoors Maine;Beauty;parenting female male;tomorrow following;Southeast dynamic;compress weber iusto;Investment Bicycle Loan;INACTIVE;2023-10-05T11:04:02;2023-10-04T13:16:56;../fake-data/blob/hipster.png;image/png
6;Southeast;miniature;Southwest Home;Hungary neural;Mouse;withdrawal virtual tan;Coordinator;INACTIVE;2023-10-05T07:13:31;2023-10-04T14:44:53;../fake-data/blob/hipster.png;image/png
7;Vermont thoughtfully;failing generating;soluta Administrator;Arkansas West tower;protocol Pickup;Montenegro Proactive Sports;Xenon;INACTIVE;2023-10-05T03:47:52;2023-10-04T19:35:33;../fake-data/blob/hipster.png;image/png
8;Moldova Diesel;Bugatti Tasty;Solutions orchid;navigating brown Administrator;West semaphore Loan;Brazilian connect red;silver ouch;INACTIVE;2023-10-05T02:37:01;2023-10-05T09:50:26;../fake-data/blob/hipster.png;image/png
9;Mouse program incidunt;turban;Gasoline Alaska;temporibus before;backing;blah Forge;Metal;ACTIVE;2023-10-05T07:09:14;2023-10-04T16:58:25;../fake-data/blob/hipster.png;image/png
10;Ergonomic;Hybrid;North dedicated;Branding;green Buckinghamshire;Manor Rubber;hard;INACTIVE;2023-10-05T04:30:06;2023-10-05T00:44:52;../fake-data/blob/hipster.png;image/png
