id;state_code_id;code;name
1;Sausages Diesel Bicycle;Nevada deploy Gloves;users Customer Home
2;mole;North;Berkelium North
3;methodologies female;sievert connecting;Southwest um er
4;empower;Mazda;front
5;female transmitting payment;Trans Hybrid;Cambridgeshire
6;Legacy female Operations;Technician;salmon medication
7;Savings Bedfordshire;because Designer olive;F2M Avon blank
8;East Electric;capability Gasoline;Global generate Hessel
9;Hafnium Credit China;compressing leverage paradigms;male
10;Volvo Hybrid;Fish;Progressive West twitter
